,marca,preco
0,"Cadeira Gamer Husky Gaming Tempest 700, Preto, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA074","R$ 1.499,99"
1,"Cadeira Gamer Prizi PZ1005, Peso Suportado até 120Kg, Mecanismo Borboleta, Amarela","R$ 693,41"
2,Cadeira Gamer Prizi Runner - Preta,"R$ 379,90"
3,"Cadeira Gamer Husky Gaming Tempest 500, Preto, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA078","R$ 1.099,99"
4,"Cadeira Gamer Husky Gaming Tempest 700, Cinza Claro, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA076","R$ 1.499,99"
5,"Cadeira Gamer Prizi Runner, 180Kg, Giratória, Azul","R$ 379,90"
6,"Cadeira Gamer ThunderX3 TGC12, Até 120kg, com Almofadas, Reclinável, Preto","R$ 1.269,99"
7,"Cadeira Gamer Husky Gaming Blizzard, Preto e Vermelho, Com Almofadas, Reclinável, Descanso de Braço 2D - HBL-BR","R$ 879,99"
8,"Cadeira Gamer Mymax Mx5, Peso Suportado até 150Kg, Giratória, Preto e verde","R$ 667,92"
9,"Cadeira Gamer, Prizi Runner - Roxa","R$ 379,90"
10,"Cadeira Gamer Prizi Runner, 180KG, Verde","R$ 382,98"
11,"Cadeira Gamer Husky Gaming Blizzard, Preto, Com Almofadas, Reclinável, Descanso de Braço 2D - HGMA005","R$ 959,99"
12,"Cadeira Gamer MyMax, Giratoria, Preto -  MX12","R$ 835,12"
13,"Cadeira Gamer Husky Gaming Tempest 500, Preto e Vermelho, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA079","R$ 1.099,99"
14,"Cadeira Gamer Corsair T3 Rush, Até 120Kg, Apoio de Braços 4D, com Almofadas, Reclinável, Cilindro de Gás Classe 4, Carvão - CF-9010029-WW","R$ 1.949,99"
15,Cadeira Gamer Prizi Runner - Branca,"R$ 379,90"
16,"Smartphone Gamer Asus ROG Phone 5s, 128GB, RAM 8GB, Octa-Core, Câmera Tripla 64MP, Tela 6.78, Preto - 90AI0091-M00190","R$ 3.419,05"
17,"Cadeira Gamer Corsair T3 Rush, Até 120Kg, Apoio de Braços 4D, com Almofadas, Reclinável, Cilindro de Gás Classe 4, Cinza e Carvão - CF-9010031-WW","R$ 1.949,99"
18,"Cadeira Gamer MX6, Giratória, Azul e Preto, Mymax","R$ 667,92"
